latitude,longitude,PROPERTY TYPE,Furnish Type,BEDROOMS,BATHROOMS,rent
51.6880516,-0.3781432,Flat,Furnished,1.0,1.0,1175
51.4822815,-0.5301374,Terraced,Unfurnished,3.0,1.0,1950
51.4746232,-0.1546466,Apartment,Furnished,1.0,1.0,2149
51.4462864,-0.301874,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,1.0,2650
51.5475331,-0.1272532,Apartment,Ask agent,1.0,1.0,2297
51.5132155,-0.4265953,Ground Flat,"Furnished or unfurnished, landlord is flexible",1.0,,1200
51.4979662,-0.1319612,Apartment,Furnished,1.0,1.0,2578
51.52636829999999,-0.08191949999999999,Apartment,Part furnished,2.0,2.0,3500
51.5222833,-0.448042,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,,1200
51.5947967,-0.1447312,Apartment,Unfurnished,1.0,1.0,1400
51.5160059,-0.1224144,Apartment,Furnished,1.0,1.0,2300
51.5210857,-0.4293739,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,,1100
51.5405156,-0.1843922,Flat,Furnished,1.0,1.0,2058
51.5496392,-0.1634259,Flat,"Furnished or unfurnished, landlord is flexible",3.0,2.0,3792
51.5422439,-0.0552485,Flat,Part furnished,3.0,1.0,2700
51.5009135,-0.256734,Flat,Unfurnished,2.0,1.0,2300
51.5501585,-0.4520825,Ground Flat,Ask agent,,,850
51.5501585,-0.4520825,Studio,"Furnished or unfurnished, landlord is flexible",,,1000
51.4763244,-0.1857747,Apartment,Ask agent,2.0,2.0,4200
51.6073915,-0.1189269,Apartment,Part furnished,,,1100
51.51218790000001,-0.1168633,Flat,Part furnished,1.0,1.0,4767
51.5409082,-0.1967451,Studio,Ask agent,,,1300
51.6662266,-0.080681,Apartment,Unfurnished,2.0,1.0,1600
51.5409082,-0.1967451,Studio,Furnished,,,1400
51.5129525,-0.112955,Apartment,Furnished,2.0,2.0,7150
51.5409082,-0.1967451,Studio,Furnished,,,1500
51.5121387,-0.1284806,Apartment,Part furnished,1.0,1.0,2700
51.4814205,-0.148469,Apartment,Furnished,2.0,2.0,3250
51.6081826,-0.2881867,Flat,Unfurnished,2.0,1.0,1650
51.4952744,-0.1790615,Flat,Furnished,1.0,1.0,2817
51.5132784,-0.1330619,Semi-Detached,Unfurnished,4.0,4.0,9997
51.7100396,-0.3660924,Detached,Part furnished,4.0,,3000
51.5144163,-0.1257451,Apartment,Furnished,1.0,1.0,3467
51.59435209999999,-0.2620609,Flat,Furnished,2.0,2.0,2100
51.5240337,-0.4324735,Studio,"Furnished or unfurnished, landlord is flexible",,,750
51.5326263,-0.1346828,Flat,Ask agent,4.0,2.0,4498
51.4762321,-0.1469148,Apartment,Furnished,2.0,2.0,4000
51.5289603,-0.0944774,Flat,Ask agent,1.0,1.0,2375
51.5298447,-0.1444726,Flat,Ask agent,4.0,2.0,4498
51.4631733,-0.1602711,Apartment,Furnished,3.0,1.0,2750
51.5409082,-0.1967451,Studio,Furnished,,,1200
51.4746232,-0.1546466,Apartment,Furnished,1.0,1.0,1895
0.0,0.0,Flat,Ask agent,2.0,2.0,4333
51.49440260000001,-0.0965486,Apartment,"Furnished or unfurnished, landlord is flexible",3.0,3.0,3999
51.4123015,-0.280268,House,Ask agent,4.0,2.0,3195
